 ,OBJECTID,Verified_B,Latitude,Longitude,CLASS_OB_1,ACRES_1,SITENAME_1,COUNTY,DESIG,REGION,TRAIL,NATURALAREA,HUNTING,FISHING,PICNIC,WATERREC,Playgrounds,Sports Facilities,ADA Compliant,Waste Receptacles,Restroom Facilities,No Fee/Reservation Required,TOT SCORE,COMMENTS
yes,8,Menna Kassa,39.4676138365,-77.7380421822,Fishing 394,0,Antietam National Battlefield,Washington,NPS,WESTERN,1,1,0,1,1,1,0,0,1,1,1,1,9,"Camping is for groups only and requires a permit, Boating or Tubing in the Antietam Creek is permitted"
yes,16,Menna Kassa,39.0963505135,-76.8015852240,Natural Area 1192,0,Baltimore-Washington Parkway, ,NPS,SOUTHERN,0,1,0,0,1,0,0,0,,1,1,1,5,"NASA visitor center, Greenbelt Museum, National Wildlife Center, Scenic Drive"
yes,316,Coline Bodenreider,39.1710821240,-77.4903154938,Fishing 396,0,Chesapeake and Ohio Canal National Historical Park, ,NPS,WESTERN,1,1,0,1,0,1,0,0,1,1,1,0,7,"Backpacking, historic homes, climbing, ice skating, nature walks, mule driven boats"
yes,321,Coline Bodenreider,38.9676366048,-77.1400992246,Natural Area 1190,0,Clara Barton National Historic Site,Montgomery,NPS,CENTRAL,0,1,0,0,0,0,0,0,1,,0,1,3, 
yes,640,Jameela Rogers,38.9893885500,-77.2505364369,Natural Area 1200,0,George Washington Memorial Parkway, ,NPS,CENTRAL,1,1,0,0,1,1,0,1,1,1,1,1,9,"Kayaking, Wildlife Viewing"
yes,658,Jameela Rogers,39.4155098144,-76.5878382809,Natural Area 1195,0,Hampton National Historic Site,Baltimore,NPS,CENTRAL,0,1,0,0,1,0,0,0,0,,,1,3, 
yes,681,Jameela Rogers,39.6507723433,-77.4642939150,Fishing 395,0,Catoctin Mountain Park,Frederick,NPS,WESTERN,1,1,0,1,1,1,0,0,1,1,1,1,9,"Wildlife Viewing, Scenic Driving"
yes,690,Jameela Rogers,38.7684992509,-77.0285992588,Fishing 398,0,Fort Foote Park,Prince Georges,NPS,SOUTHERN,1,1,0,1,1,1,0,0,,,,1,6, 
yes,691,Jameela Rogers,39.2619551282,-76.5803550472,Natural Area 1194,0,Fort McHenry National Monument and Historic Shrine,Baltimore City,NPS,CENTRAL,0,1,0,0,0,0,0,0,1,1,1,0,4,Daily Flag Change Events
yes,693,Jameela Rogers,38.7121842922,-77.0287534108,Fishing 393,0,Fort Washington Park,Prince Georges,NPS,SOUTHERN,1,1,0,1,1,1,0,0,1,1,1,1,9,"Wildlife Viewing, Group picnics require permits, summer monthly artillery demos"
yes,1322,Samuel Bara-Garcia,38.6847751558,-77.0531569841,Fishing 392,0,Piscataway Park,Prince Georges,NPS,SOUTHERN,1,1,0,1,1,1,0,0,1,1,1,1,9,"Bird Watching, National Colonial Farm"
yes,1587,Jan-Michael Archer,38.5292489044,-77.0377884144,Natural Area 1186,0,Thomas Stone National Historic Site,Charles County,NPS,SOUTHERN,0,1,0,0,1,0,0,0,1,,,1,4,free tours of historic houses and buildings
yes,25,Menna Kassa,39.6950259665,-78.3633646798,Natural Area 1153,0,BELLE GROVE WMA,Allegany,WMA,WESTERN,1,1,1,0,0,0,0,0,1,,0,1,5,"Bird Watching, Turkey Hunting, Mushroom Picking"
yes,303,Menna Kassa,39.6791887426,-78.4286976046,Natural Area 1147,758,BILLMEYER WMA,Allegany,WMA,WESTERN,1,1,1,0,0,0,0,0,,,0,1,4,Trapping available by permit
yes,306,Menna Kassa,39.6453325452,-78.3482539540,Fishing 364,865,AARON STRAUS HCF,Allegany,HCF,WESTERN,1,1,0,1,0,1,0,0,0,,,1,5, 
yes,376,Coline Bodenreider,39.5818561534,-78.8977097046,Natural Area 1121,0.23,DANS ROCK FT,Allegany,FT,WESTERN,0,1,0,0,0,0,0,0,0,0,0,1,2,Tallest peak in Allegany County
yes,461,Coline Bodenreider,39.6620068164,-78.7191469154,Fishing 377,6,EVITTS CREEK POND FMA,Allegany,FMA,WESTERN,1,1,0,1,1,1,0,0,,,,1,6, 
yes,607,Coline Bodenreider,39.5567533864,-78.9522077029,Fishing 342,482,DANS MOUNTAIN SP,Allegany,SP,WESTERN,1,1,0,1,1,1,1,0,1,1,1,1,10, 
yes,630,Coline Bodenreider,39.5269250790,-78.9421491658,Natural Area 1128,9803,DANS MOUNTAIN WMA,Allegany,WMA,WESTERN,1,1,1,0,1,0,0,0,0,,,1,5, 
yes,710,Jameela Rogers,39.4775299225,-78.9425677907,Fishing 381,1,GARY A YODER FMA,Allegany,FMA,WESTERN,0,1,0,1,0,1,0,0,1,0,0,1,5, 
yes,869,Jameela Rogers,39.5266044864,-78.8943062929,Natural Area 1078,103,FORT HILL HCF,Allegany,HCF,WESTERN,1,1,0,0,0,0,0,0,,,1,1,4, 
yes,900,Jameela Rogers,39.6176384961,-78.5514804231,Fishing 365,458,HANGING PRAIRIE SHALE BARREN HCF,Allegany,HCF,WESTERN,1,1,1,1,0,1,0,0,0,,,1,6, 
yes,922,Jameela Rogers,39.6276080156,-78.4748005764,Fishing 390,46044,GREEN RIDGE SF,Allegany,SF,WESTERN,1,1,1,1,1,1,0,1,1,1,1,1,11,Camping requires a fee
yes,1066,Jewel Aleshire,39.4532845335,-78.9893885541,Fishing 376,16,MCCOOLE FMA,Allegany,FMA,WESTERN,0,1,0,1,0,1,0,0,0,0,0,1,4, 
yes,1216,Jewel Aleshire,39.6769175211,-78.7730474133,Natural Area 996,357,WILLS MOUNTAIN SP,Allegany,SP,WESTERN,0,1,0,0,0,0,0,0,0,0,0,0,1,"Surrounded by private land, undeveloped"
yes,1442,Samuel Bara-Garcia,39.7054952927,-78.6559785422,Fishing 319,3119,ROCKY GAP SP,Allegany,SP,WESTERN,1,1,1,1,1,1,0,1,1,1,1,1,11,Picnics require reservation
yes,1575,Jan-Michael Archer,39.6059871703,-78.5730236386,Hunting 129,0,SUGAR HOLLOW HCF,Allegany,HCF,WESTERN,1,1,1,0,0,0,,,,,,,3, 
yes,1594,Jan-Michael Archer,39.6905846107,-78.4066263651,Natural Area 1120,0,TOWN HILL FT,Allegany,FT,WESTERN,0,1,0,0,0,0,0,0,,,,1,2,
yes,1596,Jan-Michael Archer,39.5925117742,-78.5659340748,Hunting 119,0,TURKEY CAMP SHALE BARREN HCF,Allegany,HCF,WESTERN,1,1,1,0,0,0,0,0,,,,1,4, 
yes,1613,Jan-Michael Archer,39.6085216823,-78.6261334705,Natural Area 1129,0,WARRIOR MOUNTAIN WMA,Allegany,WMA,WESTERN,0,1,1,0,0,0,0,0,0,0,0,1,3, 
yes,131,Menna Kassa,39.5786452157,-78.8532690081,Picnic 5,5,Bel Air Elementary,Allegany,COUNTY,WESTERN,1,0,0,0,1,0,1,0,1,1,1,1,7, 
yes,147,Menna Kassa,39.5368833990,-79.0128068775,Picnic 3,7,Barton Ballfield,Allegany,COUNTY,WESTERN,1,0,0,0,1,0,0,1,0,1,1,1,6, 
yes,160,Menna Kassa,39.5797694443,-78.8564339937,Picnic 4,10,Bel Air Community Park,Allegany,COUNTY,WESTERN,1,0,0,0,1,0,1,1,1,1,1,1,8, 
yes,173,Menna Kassa,39.6617150764,-78.7893733538,Natural Area 3,12,Bishop Walsh High School,Allegany,COUNTY,WESTERN,1,1,0,0,0,0,0,1,1,1,1,1,7, 
yes,218,Menna Kassa,39.5469458012,-78.6165059022,Picnic 27,29,Oldtown Community Park,Allegany,COUNTY,WESTERN,1,0,0,0,1,0,0,1,1,0,0,1,5, 
yes,237,Menna Kassa,39.6525383883,-78.7269312337,Fishing 1,50,Allegany College of Maryland,Allegany,COUNTY,WESTERN,1,1,0,1,0,0,0,1,1,1,1,1,8, 
yes,278,Menna Kassa,39.6087416400,-78.7975737562,Fishing 2,151,Allegany County Fairgrounds,Allegany,COUNTY,WESTERN,0,0,0,1,1,0,0,0,1,1,1,0,5,"Home to the Allegany County Fair, available to rent spaces"
yes,296,Menna Kassa,39.6591451533,-78.9216956569,Natural Area 2,417,Allegheny Highlands Trail,Allegany,COUNTY,WESTERN,1,1,0,0,1,0,0,0,,,,1,4, 
yes,310,Menna Kassa,39.6496670280,-78.7633429737,Fishing 3,3000,C & O Canal National Historical,Allegany,COUNTY,WESTERN,1,1,0,1,1,0,0,0,1,1,1,1,8,Has the C&O Canal National Histroicl Park Museum
yes,335,Coline Bodenreider,39.5817619318,-78.8976317040,Natural Area 6,0,Dans Rock Overlook Park,Allegany,COUNTY,WESTERN,0,1,0,0,0,0,0,0,0,0,0,1,2, 
yes,396,Coline Bodenreider,39.5918624497,-78.9491832997,Picnic 38,1,Church Street Park,Allegany,COUNTY,WESTERN,0,0,0,0,1,0,0,1,1,1,0,1,5, 
yes,398,Coline Bodenreider,39.6513539381,-78.9189265437,Picnic 14,1,East End Playground,Allegany,COUNTY,WESTERN,0,0,0,0,1,0,0,0,1,0,0,1,3, 
